Date,sflow_cfs
2023-03-16 23:00,35.8
2023-03-17 23:00,33.4
2023-03-18 23:00,32.3
2023-03-19 23:00,36
2023-03-20 23:00,39.2
2023-03-21 23:00,37.8
2023-03-22 23:00,39.3
2023-03-23 23:00,39
2023-03-24 23:00,38.2
2023-03-25 23:00,37.4
2023-03-26 23:00,31
2023-03-27 23:00,28.5
2023-03-28 23:00,28.1
2023-03-29 23:00,38.6
2023-03-30 23:00,39.9
2023-03-31 23:00,37.7
2023-04-01 23:00,41.6
2023-04-02 23:00,45.3
2023-04-03 23:00,46.5
2023-04-04 23:00,47.3
2023-04-05 23:00,42.9
2023-04-06 23:00,43.1
2023-04-07 23:00,44.7
2023-04-08 23:00,50.3
2023-04-09 23:00,48.1
2023-04-10 23:00,49.4
2023-04-11 23:00,53.6
2023-04-12 23:00,63
2023-04-13 23:00,71.4
2023-04-14 23:00,72.9
2023-04-15 23:00,64.4
2023-04-16 23:00,55.5
2023-04-17 23:00,55.9
2023-04-18 23:00,57.1
2023-04-19 23:00,64.6
2023-04-20 23:00,59.1
2023-04-21 23:00,57.1
2023-04-22 23:00,66.7
2023-04-23 23:00,60.4
2023-04-24 23:00,63.1
2023-04-25 23:00,72.1
2023-04-26 23:00,82.7
2023-04-27 23:00,76.8
2023-04-28 23:00,83.4
2023-04-29 23:00,76.8
2023-04-30 23:00,79.7
2023-05-01 23:00,87.9
2023-05-02 23:00,104
2023-05-03 23:00,119
2023-05-04 23:00,143
2023-05-05 23:00,143
2023-05-06 23:00,136
2023-05-07 23:00,139
2023-05-08 23:00,132
2023-05-09 23:00,144
2023-05-10 23:00,186
2023-05-11 23:00,320
2023-05-12 23:00,337
2023-05-13 23:00,293
2023-05-14 23:00,301
2023-05-15 23:00,324
2023-05-16 23:00,330
2023-05-17 23:00,375
2023-05-18 23:00,440
2023-05-19 23:00,486
2023-05-20 23:00,456
2023-05-21 23:00,495
2023-05-22 23:00,531
2023-05-23 23:00,561
2023-05-24 23:00,569
2023-05-25 23:00,549
2023-05-26 23:00,576
2023-05-27 23:00,604
2023-05-28 23:00,605
2023-05-29 23:00,626
2023-05-30 23:00,647
2023-05-31 23:00,613
2023-06-01 23:00,592
2023-06-02 23:00,607
2023-06-03 23:00,563
2023-06-04 23:00,575
2023-06-05 23:00,585
2023-06-06 23:00,619
2023-06-07 23:00,708
2023-06-08 23:00,809
2023-06-09 23:00,876
2023-06-10 23:00,814
2023-06-11 23:00,834
2023-06-12 23:00,847
2023-06-13 23:00,757
2023-06-14 23:00,688
2023-06-15 23:00,703
2023-06-16 23:00,762
2023-06-17 23:00,765
2023-06-18 23:00,674
2023-06-19 23:00,691
2023-06-20 23:00,766
2023-06-21 23:00,784
2023-06-22 23:00,974
2023-06-23 23:00,995
2023-06-24 23:00,932
2023-06-25 23:00,834
2023-06-26 23:00,807
2023-06-27 23:00,785
2023-06-28 23:00,781
2023-06-29 23:00,796
2023-06-30 23:00,779
2023-07-01 23:00,697
2023-07-02 23:00,673
2023-07-03 23:00,649
2023-07-04 23:00,645
2023-07-05 23:00,646
2023-07-06 23:00,631
2023-07-07 23:00,608
2023-07-08 23:00,596
2023-07-09 23:00,564
2023-07-10 23:00,524
2023-07-11 23:00,479
2023-07-12 23:00,443
2023-07-13 23:00,422
2023-07-14 23:00,402
2023-07-15 23:00,379
2023-07-16 23:00,355
2023-07-17 23:00,337
2023-07-18 23:00,322
2023-07-19 23:00,320
2023-07-20 23:00,370
2023-07-21 23:00,340
2023-07-22 23:00,301
2023-07-23 23:00,271
2023-07-24 23:00,246
2023-07-25 23:00,232
2023-07-26 23:00,228
2023-07-27 23:00,217
2023-07-28 23:00,215
2023-07-29 23:00,202
2023-07-30 23:00,194
2023-07-31 23:00,200
2023-08-01 23:00,316
2023-08-02 23:00,363
2023-08-03 23:00,311
2023-08-04 23:00,257
2023-08-05 23:00,218
2023-08-06 23:00,201
2023-08-07 23:00,188
2023-08-08 23:00,170
2023-08-09 23:00,166
2023-08-10 23:00,155
2023-08-11 23:00,147
2023-08-12 23:00,140
2023-08-13 23:00,144
2023-08-14 23:00,134
2023-08-15 23:00,120
2023-08-16 23:00,119
2023-08-17 23:00,117
2023-08-18 23:00,133
2023-08-19 23:00,113
2023-08-20 23:00,111
2023-08-21 23:00,106
2023-08-22 23:00,105
2023-08-23 23:00,105
2023-08-24 23:00,112
2023-08-25 23:00,163
